"Utilization Type",State,NDC,"Labeler Code","Product Code","Package Size",Year,Quarter,"Suppression Used","Product Name","Units Reimbursed","Number of Prescriptions","Total Amount Reimbursed","Medicaid Amount Reimbursed","Non-medicaid Amount Reimbursed"
FFSU,FL,00074909422,00074,9094,22,2002,3,false,"FENTANYL C",34.000,17.000000000,84.15,0.00,0.00
FFSU,FL,00074909422,00074,9094,22,2002,2,false,"FENTANYL C",34.000,17.000000000,84.22,0.00,0.00
FFSU,FL,00074909422,00074,9094,22,2002,1,false,"FENTANYL C",23.000,12.000000000,59.15,0.00,0.00
FFSU,HI,00074909422,00074,9094,22,2002,4,false,"FENTANYL 0",45.000,41.000000000,208.57,0.00,0.00
FFSU,HI,00074909422,00074,9094,22,2002,3,false,"FENTANYL 0",99.000,60.000000000,316.59,0.00,0.00
FFSU,HI,00074909425,00074,9094,25,2002,3,false,"FENTANYL 0",134.000,25.000000000,143.68,0.00,0.00
FFSU,HI,00074909422,00074,9094,22,2002,2,false,"FENTANYL 0",75.000,54.000000000,280.68,0.00,0.00
FFSU,HI,00074909425,00074,9094,25,2002,2,false,"FENTANYL 0",70.000,22.000000000,117.22,0.00,0.00
FFSU,HI,00074909422,00074,9094,22,2002,1,false,"FENTANYL 0",41.000,36.000000000,183.70,0.00,0.00
FFSU,IL,00074909335,00074,9093,35,2002,4,false,"FENTANYL 0",44.000,13.000000000,606.85,0.00,0.00
FFSU,IN,00074909425,00074,9094,25,2002,4,false,"FENTANYL 0",210.000,13.000000000,42.18,0.00,0.00
FFSU,IN,00074909425,00074,9094,25,2002,3,false,"FENTANYL C",240.000,15.000000000,48.84,0.00,0.00
FFSU,IN,00074909425,00074,9094,25,2002,2,false,"FENTANYL C",340.000,21.000000000,75.20,0.00,0.00
FFSU,IN,00074909425,00074,9094,25,2002,1,false,"FENTANYL C",643.000,28.000000000,143.96,0.00,0.00
FFSU,LA,63459030424,63459,0304,24,2002,2,false,"FENTANYL C",996.000,19.000000000,8684.55,0.00,0.00
FFSU,LA,63459030624,63459,0306,24,2002,2,false,"FENTANYL C",590.000,14.000000000,6240.11,0.00,0.00
FFSU,LA,00074246124,00074,2461,24,2002,1,false,"FENTANYL C",509.000,13.000000000,4229.97,0.00,0.00
FFSU,LA,63459030424,63459,0304,24,2002,1,false,"FENTANYL C",888.000,12.000000000,7379.10,0.00,0.00
FFSU,MI,00641111934,00641,1119,34,2002,2,false,"FENTANYL C",962.000,12.000000000,704.69,0.00,0.00
FFSU,MO,00074909332,00074,9093,32,2002,4,false,"FENTANYL C",53.000,28.000000000,224.24,0.00,0.00
FFSU,MO,10019003372,10019,0033,72,2002,4,false,"FENTANYL C",37.000,13.000000000,75.58,0.00,0.00
FFSU,MO,10019003682,10019,0036,82,2002,4,false,"FENTANYL C",78.000,38.000000000,200.65,0.00,0.00
FFSU,MO,10019003783,10019,0037,83,2002,4,false,"FENTANYL C",410.000,204.000000000,1012.71,0.00,0.00
FFSU,MO,10019003867,10019,0038,67,2002,4,false,"FENTANYL C",207.000,106.000000000,638.47,0.00,0.00
FFSU,MO,00074909332,00074,9093,32,2002,3,false,"FENTANYL C",78.000,42.000000000,292.24,0.00,0.00
FFSU,MO,00641240341,00641,2403,41,2002,3,false,"FENTANYL C",193.000,97.000000000,483.58,0.00,0.00
FFSU,MO,10019003783,10019,0037,83,2002,3,false,"FENTANYL C",440.000,210.000000000,1050.30,0.00,0.00
FFSU,MO,00074909332,00074,9093,32,2002,2,false,"FENTANYL C",50.000,26.000000000,112.28,0.00,0.00
FFSU,MO,00074909332,00074,9093,32,2002,1,false,"FENTANYL C",41.000,23.000000000,85.60,0.00,0.00
FFSU,MT,00074909335,00074,9093,35,2002,3,false,"FENTANYL 0",2300.000,15.000000000,406.76,0.00,0.00
FFSU,XX,00074909332,00074,9093,32,2002,4,false,"FENTANYL C",79.000,53.000000000,312.91,0.00,0.00
FFSU,XX,00074909335,00074,9093,35,2002,4,false,"FENTANYL C",1244.000,21.000000000,812.81,0.00,0.00
FFSU,XX,00074909422,00074,9094,22,2002,4,false,"FENTANYL C",76.000,53.000000000,274.89,0.00,0.00
FFSU,XX,00074909425,00074,9094,25,2002,4,false,"FENTANYL C",236.000,21.000000000,84.92,0.00,0.00
FFSU,XX,00074909461,00074,9094,61,2002,4,false,"FENTANYL C",13918.000,11.000000000,2300.92,0.00,0.00
FFSU,XX,00641240341,00641,2403,41,2002,4,false,"FENTANYL C",4740.000,13.000000000,2125.97,0.00,0.00
FFSU,XX,10019003372,10019,0033,72,2002,4,false,"FENTANYL C",57.000,16.000000000,99.93,0.00,0.00
FFSU,XX,10019003574,10019,0035,74,2002,4,false,"FENTANYL C",10663.000,19.000000000,5018.40,0.00,0.00
FFSU,XX,10019003682,10019,0036,82,2002,4,false,"FENTANYL C",78.000,38.000000000,200.65,0.00,0.00
FFSU,XX,10019003783,10019,0037,83,2002,4,false,"FENTANYL C",34761.000,227.000000000,16025.55,0.00,0.00
FFSU,XX,10019003867,10019,0038,67,2002,4,false,"FENTANYL C",214.000,110.000000000,661.17,0.00,0.00
FFSU,XX,00074909332,00074,9093,32,2002,3,false,"FENTANYL C",133.000,74.000000000,442.28,0.00,0.00
FFSU,XX,00074909335,00074,9093,35,2002,3,false,"FENTANYL C",2326.000,18.000000000,422.69,0.00,0.00
FFSU,XX,00074909422,00074,9094,22,2002,3,false,"FENTANYL C",161.000,81.000000000,427.80,0.00,0.00
FFSU,XX,00074909425,00074,9094,25,2002,3,false,"FENTANYL C",374.000,40.000000000,192.52,0.00,0.00
FFSU,XX,00641111733,00641,1117,33,2002,3,false,"FENTANYL C",212.000,14.000000000,139.66,0.00,0.00
FFSU,XX,00641240341,00641,2403,41,2002,3,false,"FENTANYL C",2678.000,109.000000000,1622.55,0.00,0.00
FFSU,XX,10019003372,10019,0033,72,2002,3,false,"FENTANYL C",59.000,12.000000000,85.58,0.00,0.00
FFSU,XX,10019003574,10019,0035,74,2002,3,false,"FENTANYL C",10550.000,15.000000000,6414.33,0.00,0.00
FFSU,XX,10019003783,10019,0037,83,2002,3,false,"FENTANYL C",440.000,210.000000000,1050.30,0.00,0.00
FFSU,XX,00074127612,00074,1276,12,2002,2,false,"FENTANYL C",39.000,18.000000000,91.49,0.00,0.00
FFSU,XX,00074909332,00074,9093,32,2002,2,false,"FENTANYL C",121.000,58.000000000,256.86,0.00,0.00
FFSU,XX,00074909422,00074,9094,22,2002,2,false,"FENTANYL C",130.000,75.000000000,388.48,0.00,0.00
FFSU,XX,00074909425,00074,9094,25,2002,2,false,"FENTANYL C",410.000,43.000000000,192.42,0.00,0.00
FFSU,XX,00074909461,00074,9094,61,2002,2,false,"FENTANYL C",65850.000,12.000000000,11718.74,0.00,0.00
FFSU,XX,00641111934,00641,1119,34,2002,2,false,"FENTANYL C",1462.000,17.000000000,1039.14,0.00,0.00
FFSU,XX,00641240341,00641,2403,41,2002,2,false,"FENTANYL C",24734.000,26.000000000,11041.00,0.00,0.00
FFSU,XX,10019003574,10019,0035,74,2002,2,false,"FENTANYL C",5800.000,17.000000000,3597.11,0.00,0.00
FFSU,XX,00074127612,00074,1276,12,2002,1,false,"FENTANYL C",24.000,11.000000000,56.17,0.00,0.00
FFSU,XX,00074909332,00074,9093,32,2002,1,false,"FENTANYL C",94.000,40.000000000,203.40,20.12,0.00
FFSU,XX,00074909422,00074,9094,22,2002,1,false,"FENTANYL C",161.000,56.000000000,310.56,0.00,0.00
FFSU,XX,00074909425,00074,9094,25,2002,1,false,"FENTANYL C",671.000,37.000000000,191.79,0.00,0.00
FFSU,XX,00074909512,00074,9095,12,2002,1,false,"FENTANYL C",224.000,13.000000000,1630.26,0.00,0.00
FFSU,XX,00338931841,00338,9318,41,2002,1,false,"FENTANYL C",83.000,24.000000000,157.90,0.00,0.00
FFSU,XX,00641240341,00641,2403,41,2002,1,false,"FENTANYL C",15408.000,20.000000000,6454.64,0.00,0.00
FFSU,XX,10019003867,10019,0038,67,2002,1,false,"FENTANYL C",11.000,11.000000000,47.11,0.00,0.00
FFSU,NC,10019003574,10019,0035,74,2002,4,false,"FENTANYL 0",5680.000,16.000000000,3526.50,0.00,0.00
FFSU,NC,10019003574,10019,0035,74,2002,2,false,"FENTANYL 0",5600.000,14.000000000,3467.80,0.00,0.00
FFSU,PA,00074909332,00074,9093,32,2002,4,false,"FENTANYL C",22.000,22.000000000,73.51,0.00,0.00
FFSU,PA,00074909332,00074,9093,32,2002,3,false,"FENTANYL C",16.000,16.000000000,54.61,0.00,0.00
FFSU,PA,00074127612,00074,1276,12,2002,2,false,"FENTANYL C",39.000,18.000000000,91.49,0.00,0.00
FFSU,PA,00074127612,00074,1276,12,2002,1,false,"FENTANYL C",24.000,11.000000000,56.17,0.00,0.00
FFSU,PA,10019003867,10019,0038,67,2002,1,false,"FENTANYL C",11.000,11.000000000,47.11,0.00,0.00
FFSU,UT,10019003783,10019,0037,83,2002,4,false,"FENTANYL C",34350.000,22.000000000,15007.87,0.00,0.00
FFSU,UT,00641240341,00641,2403,41,2002,2,false,"FENTANYL C",10600.000,12.000000000,4710.80,0.00,0.00
FFSU,VA,00641240341,00641,2403,41,2002,1,false,"FENTANYL C",6698.000,11.000000000,2603.75,0.00,0.00
